Title,Details
Akira,`IMDb <https://www.imdb.com/title/tt0094625/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Akira_(1988_film)>`_
,`Amazon <https://amzn.com/B00ENNA62W>`_
Alien,`IMDb <https://www.imdb.com/title/tt0078748/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Alien_(film)>`_
,`Amazon <https://amzn.com/B07P83ZXX4>`_
Aliens,`IMDb <https://www.imdb.com/title/tt0090605/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Aliens_(film)>`_
,`Amazon <https://amzn.com/B001609SQA>`_
Appleseed,`IMDb <https://www.imdb.com/title/tt0401233/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Appleseed_(2004_film)>`_
,`Amazon <https://amzn.com/B00XZZMVNQ>`_
Altered Carbon,`IMDb <https://www.imdb.com/title/tt2261227/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Altered_Carbon_(TV_series)>`_
,`Netflix <https://www.netflix.com/title/80097140>`_
Blade Runner,`IMDb <https://www.imdb.com/title/tt1856101/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Blade_Runner_2049>`_
,`Amazon <https://amzn.com/B0765NT2ST>`_
Blade Runner 2049,`IMDb <https://www.imdb.com/title/tt1856101/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Blade_Runner_2049>`_
,`Amazon <https://amzn.com/B0765NT2ST>`_
Ghost in the Shell,`IMDb <https://www.imdb.com/title/tt0113568/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Ghost_in_the_Shell>`_
,`Amazon <https://amzn.com/B07WQZDXTM>`_
Max Headroom,`IMDb <https://www.imdb.com/title/tt0092402/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Max_Headroom>`_
,`Amazon <https://amzn.com/B08C99881Y>`_
Overdrawn at the Memory Bank,`IMDb <https://www.imdb.com/title/tt0089759/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Overdrawn_at_the_Memory_Bank>`_
Robocop 1,`IMDb <https://www.imdb.com/title/tt0093870/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/RoboCop>`_
,`Amazon <https://amzn.com/B004M7N40U>`_
Robocop 2,`IMDb <https://www.imdb.com/title/tt0100502/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/RoboCop_2>`_
,`Amazon <https://amzn.com/B004M7N40U>`_
Robocop (2014),`IMDb <https://www.imdb.com/title/tt1234721/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/RoboCop_(2014_film)>`_
,`Amazon <https://amzn.com/B00JL6L4WC>`_
Road Warrior,`IMDb <https://www.imdb.com/title/tt0079501/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/Mad_Max>`_
,`Amazon <https://amzn.com/0790729342>`_
The Expanse,`IMDb <https://www.imdb.com/title/tt3230854/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/The_Expanse_(TV_series)>`_
,`Amazon <https://amzn.com/B08B49PKRL>`_
The Matrix Trilogy,`IMDB <https://www.imdb.com/list/ls061622168/>`_
,`Wikipedia <https://en.wikipedia.org/wiki/The_Matrix_(franchise)>`_
,`Amazon <https://amzn.com/B07G2CJP6C>`_
